district,amphoe,province,zipcode,district_code,amphoe_code,province_code,district_en,amphoe_en,province_en
เกาะกลาง,เกาะลันตา,กระบี่,81120,810303,8103,81,Ko Klang,Ko Lanta,Krabi
เกาะลันตาน้อย,เกาะลันตา,กระบี่,81150,810302,8103,81,Ko Lanta Noi,Ko Lanta,Krabi
เกาะลันตาใหญ่,เกาะลันตา,กระบี่,81150,810301,8103,81,Ko Lanta Yai,Ko Lanta,Krabi
คลองยาง,เกาะลันตา,กระบี่,81120,810304,8103,81,Khlong Yang,Ko Lanta,Krabi
ศาลาด่าน,เกาะลันตา,กระบี่,81150,810305,8103,81,Sala Dan,Ko Lanta,Krabi
เขาดิน,เขาพนม,กระบี่,81140,810202,8102,81,Khao Din,Khao Phanom,Krabi
เขาพนม,เขาพนม,กระบี่,81140,810201,8102,81,Khao Phanom,Khao Phanom,Krabi
โคกหาร,เขาพนม,กระบี่,80240,810206,8102,81,Khok Han,Khao Phanom,Krabi
พรุเตียว,เขาพนม,กระบี่,81140,810204,8102,81,Phru Tiao,Khao Phanom,Krabi
สินปุน,เขาพนม,กระบี่,80240,810203,8102,81,Sin Pun,Khao Phanom,Krabi
หน้าเขา,เขาพนม,กระบี่,81140,810205,8102,81,Na Khao,Khao Phanom,Krabi
คลองท่อมใต้,คลองท่อม,กระบี่,81120,810401,8104,81,Khlong Thom Tai,Khlong Thom,Krabi
คลองท่อมเหนือ,คลองท่อม,กระบี่,81120,810402,8104,81,Khlong Thom Nuea,Khlong Thom,Krabi
คลองพน,คลองท่อม,กระบี่,81170,810403,8104,81,Khlong Phon,Khlong Thom,Krabi
ทรายขาว,คลองท่อม,กระบี่,81170,810404,8104,81,Sai Khao,Khlong Thom,Krabi
พรุดินนา,คลองท่อม,กระบี่,81120,810406,8104,81,Phru Din Na,Khlong Thom,Krabi
เพหลา,คลองท่อม,กระบี่,81120,810407,8104,81,Phela,Khlong Thom,Krabi
ห้วยน้ำขาว,คลองท่อม,กระบี่,81120,810405,8104,81,Huai Nam Khao,Khlong Thom,Krabi
เขาเขน,ปลายพระยา,กระบี่,81160,810597,8106,81,Khao Khen,Plai Phraya,Krabi
เขาต่อ,ปลายพระยา,กระบี่,81160,810598,8106,81,Khao To,Plai Phraya,Krabi
คีรีวง,ปลายพระยา,กระบี่,81160,810604,8106,81,Khiri Wong,Plai Phraya,Krabi
ปลายพระยา,ปลายพระยา,กระบี่,81160,810599,8106,81,Plai Phraya,Plai Phraya,Krabi
กระบี่น้อย,เมืองกระบี่,กระบี่,81000,810103,8101,81,Krabi Noi,Mueang Krabi,Krabi
กระบี่ใหญ่,เมืองกระบี่,กระบี่,81000,810102,8101,81,Krabi Yai,Mueang Krabi,Krabi
เขาคราม,เมืองกระบี่,กระบี่,81000,810105,8101,81,Khao Khram,Mueang Krabi,Krabi
เขาทอง,เมืองกระบี่,กระบี่,81000,810106,8101,81,Khao Thong,Mueang Krabi,Krabi
คลองประสงค์,เมืองกระบี่,กระบี่,81000,810118,8101,81,Khlong Prasong,Mueang Krabi,Krabi
ทับปริก,เมืองกระบี่,กระบี่,81000,810111,8101,81,Thap Prik,Mueang Krabi,Krabi
ปากน้ำ,เมืองกระบี่,กระบี่,81000,810101,8101,81,Pak Nam,Mueang Krabi,Krabi
ไสไทย,เมืองกระบี่,กระบี่,81000,810115,8101,81,Sai Thai,Mueang Krabi,Krabi
หนองทะเล,เมืองกระบี่,กระบี่,81180,810117,8101,81,Nong Thale,Mueang Krabi,Krabi
อ่าวนาง,เมืองกระบี่,กระบี่,81000,810116,8101,81,Ao Nang,Mueang Krabi,Krabi
ดินแดง,ลำทับ,กระบี่,81190,810704,8107,81,Din Daeng,Lam Thap,Krabi
ดินอุดม,ลำทับ,กระบี่,81190,810702,8107,81,Din Udom,Lam Thap,Krabi
ทุ่งไทรทอง,ลำทับ,กระบี่,81190,810703,8107,81,Thung Sai Thong,Lam Thap,Krabi
ลำทับ,ลำทับ,กระบี่,81190,810499,8107,81,Lam Thap,Lam Thap,Krabi
เกาะศรีบอยา,เหนือคลอง,กระบี่,81130,810104,8108,81,Ko Si Boya,Nuea Khlong,Krabi
คลองขนาน,เหนือคลอง,กระบี่,81130,810107,8108,81,Khlong Khanan,Nuea Khlong,Krabi
คลองเขม้า,เหนือคลอง,กระบี่,81130,810108,8108,81,Khlong Khamao,Nuea Khlong,Krabi
โคกยาง,เหนือคลอง,กระบี่,81130,810109,8108,81,Khok Yang,Nuea Khlong,Krabi
ตลิ่งชัน,เหนือคลอง,กระบี่,81130,810110,8108,81,Taling Chan,Nuea Khlong,Krabi
ปกาสัย,เหนือคลอง,กระบี่,81130,810112,8108,81,Pakasai,Nuea Khlong,Krabi
ห้วยยูง,เหนือคลอง,กระบี่,81130,810113,8108,81,Huai Yung,Nuea Khlong,Krabi
